Target,Simbad Name,RA,DEC,SpType,SpType Letter,SpType Decimal,SpType Decimal Unc,i disk (deg),i disk Unc,Rstar (Rsun),Rstar Unc,Mstar (Msun),Mstar Unc,Prot (d),Prot Unc,vsini (km/s),vsini Unc,Teff (K),Teff Unc,Age (Myr),Age +Unc,Age -Unc,i star (deg),i star +Unc,i star -Unc,disk diff,disk diff +Unc,disk diff -Unc,Veq,Veq Unc,Rdisk (au),Rdisk +Unc,Rdisk -Unc
GW Lup,GW Lup,15 46 44.7094,-34 30 36.086,M1.5,M,1.5,0.01,38.7,0.3,1.346,0.235068794,0.412058678,0.02525573,4.12,0.313325804,8,ulimit,3610.981674,32.3766828,2.311993312,0.326662751,0.326662751,22.27,8.954979006,11.39904382,16,10.34599631,8.648403892,16.52859632,3.14840889,105,1,1
IM Lup,IM Lup,15 56 09.1888,-37 56 06.541,K5.0,K,5,0.01,48.4,0.11,2.243,0.391723109,0.648294416,0.050876139,7.249014544,0.272056632,14.78970261,0.46858662,4158.516,74.91597231,0.900600954,0.131991124,0.131991124,71.03,18.96996013,7.618060625,22.5,18.71599934,7.853535128,15.65447227,2.796351176,264,1,1
IP Tau,IP Tau,04 24 57.0932,27 11 56.075,M0.5,M,0.5,0.01,45.235,0.325,1.543,0.121414243,0.548674032,0.030436762,5.649050279,0.18168682,11.12202916,0.328022028,3813.323949,26.97056353,2.603439247,0.118343341,0.118343341,53.66,10.32997819,6.917002827,8.1,8.181199682,8.1,13.81906358,1.174708384,34.58,0.13,0.26
IQ Tau,IQ Tau,04 29 51.5646,26 06 44.486,M1.0,M,1,0.01,62.115,0.195,2.252,0.176693749,0.694271267,0.017207948,6.28522175,0.210995938,14.08631836,0.421465373,3730.087183,26.56053285,0.961891636,0.178980112,0.178980112,51.06,8.984754424,6.3049996,10.5,4.775000836,7.540692649,18.12741639,1.547008534,95.89,0.66,1.05
LkCa 15,LkCa 15,04 39 17.8044,22 21 03.083,K5.5,K,5.5,0.01,50.16,0.03,1.607,0.280650485,1.158006745,0.0286878,5.757636503,0.176944133,14.75270685,0.346977228,4461.955535,36.83346455,2.402359036,0.248089619,0.248089619,90,-2.99E-05,21.50981269,36.9,2.831998078,18.68926595,14.12081499,2.503985661,156.3,2.5,1.6
MHO 6,MHO 6,04 32 22.1098,18 27 42.6498,M5.0,M,5,0.01,64.585,0.035,0.994,0.077280492,0.213446159,0.004828463,1.94,0.024922364,20.9315,1.046575,3103.636817,57.01406719,1.199337417,0.399163082,0.399163082,54.05,10.6819812,7.310005509,9.7,4.074107929,8.737008872,25.92225531,2.042704401,46.36,0.01,0.07
MP Mus,MP Mus,13 22 07.4136,-69 38 12.569,K1.0,K,1,0.01,32,1,1.529,0.26702837,1.322237163,0.057711047,3.72,0.116527614,13.8096405,0.347021959,4588.940529,7.948404953,3.584767803,0.425951529,0.425951529,41.65,16.86813625,8.730051112,9.3,14.64435368,9.3,20.79470074,3.689593637,46.9,0.3,0.3
MY Lup,MY Lup,16 00 44.5019,-41 55 31.340,K0.0,K,0,0.01,73.2,0.1,1.657,0.289382609,1.144852877,0.040771415,2.6,0.106486,29.1,2,4619.30093,37.99004382,7.114619484,0.346878782,0.346878782,65.06,20.34115208,8.953992572,3.5,11.15956232,3.5,32.24313708,5.783793893,87,1,1
PDS 111,PDS 111,05 24 37.2503,-08 42 01.7147,G2.0,G,2,0.01,58.2,0.1,1.879,0.168926436,1.130701198,0.061974737,3.15,0.096184237,21,1.05,5634.978522,84.88012295,40.2,40.2,40.2,44.23,7.872140735,5.791996583,13.8,5.373993694,7.343598777,30.17896598,2.86537983,54.45825,1.42065,9.471
PDS 70,PDS 70,14 08 10.1083,-41 23 52.994,K7.0,K,7,0.01,51.7,0.1,1.186,0.137015767,0.702439024,0.062469505,3.007000903,0.048745664,16.76934776,0.484385806,4016.798394,60.7565281,8.320371427,2.591580994,2.591580994,57.25,16.53998681,8.916237566,0.1,18.38789507,0.1,19.95442693,2.327871887,74,1,1
RU Lup,RU Lup,15 56 42.2939,-37 49 15.880,K7.0,K,7,0.01,18.8,1.6,1.801,0.314531128,0.850006322,0.084926947,3.676486906,0.084009383,8.500771648,0.637395025,4125.238752,69.06923579,0.927570912,0.271895356,0.271895356,20.18,5.789015559,3.852313958,0.1,6.015626319,0.1,24.78385266,4.365205733,63,1,1
RX J1615.3-3255,RX J1615.3-3255,16 15 20.2227,-32 55 05.507,K5.0,K,5,0.01,46.5,0.5,1.525,0.2663298,0.775163399,0.064676167,5.74193578,0.212108487,15,1.414213562,4329.841727,113.413792,1.07,0.296984848,0.296984848,90,-2.83E-05,20.97280945,40.6,2.557003713,18.63981118,13.43691723,2.398577473,169.6,2.1,1
RX J1842.9-3532,RX J1842.9-3532,18 42 57.9832,-35 32 43.298,K3.0,K,3,0.01,32,5,1.318,0.149786206,0.735574546,0.072219882,2.56,0.106112323,26.69,2.86,4619.372149,82.00041049,12.4206961,3.606943912,3.606943912,90,-3.06E-05,22.0730311,48,7.871625423,17.04003097,26.04735171,3.15093948,85.2,1.1,0.5
RX J1852.3-3700,RX J1852.3-3700,18 52 17.3056,-37 00 12.444,K4.0,K,4,0.01,30,5,1.199,0.134421891,0.884733109,0.049069703,2.822,0.56603633,19.74386053,0.940916371,4729.963638,57.40527177,16.44444444,3.771236166,3.771236166,67.01,21.55135606,8.504996995,38.2,16.88902771,14.24126117,21.49563618,4.939382027,69.9,0.7,0.7
RY Lup,RY Lup,15 59 28.3696,-40 21 51.638,K4.0,K,4,0.01,67.745,0.565,1.627,0.284143334,1.243887324,0.070677473,3.716124186,0.102964597,21.9139155,2.270558916,4896.35729,62.57325843,2.580253767,0.298688649,0.298688649,89.22,0.779963235,24.9698892,1.7,12.66350652,1.7,22.1505984,3.916818785,131.14,7.9,6.32
SU Aur,SU Aur,04 55 59.3923,30 34 01.074,G4.0,G,4,0.01,53.01,1.52,3.454,0.603215167,2.18,0.476864761,2.723421053,0.060936165,61.29068236,1.301145215,5726.782162,54.4045045,5.14025108,0.133444622,0.133444622,72.87,17.12996166,8.668603214,0.6,24.29153081,0.6,64.16462673,11.29746391,111,0,0
SY Cha,SY Cha,10 56 30.2633,-77 11 39.352,K2.0,K,2,0.01,51.7,1.2,1.629,0.284492619,0.8794,0.244472493,6.108217835,0.205031609,13.57998567,0.48291252,3931.97701,38.03770327,8.4,9.333809512,9.333809512,90,-3.33E-05,23.39641304,32,5.171369689,18.55100589,13.49257053,2.399505298,197.7,2.4,1.6
